OMP_NUM_THREADS: 1, executing: slow, sum: 67108864, time: 1.1044 seconds
OMP_NUM_THREADS: 1, executing: medium, sum: 67108864, time: 0.4005 seconds
OMP_NUM_THREADS: 1, executing: fast, sum: 67108864, time: 0.0000 seconds
OMP_NUM_THREADS: 2, executing: slow, sum: 67108864, time: 2.0381 seconds
OMP_NUM_THREADS: 2, executing: medium, sum: 67108864, time: 2.0952 seconds
OMP_NUM_THREADS: 2, executing: fast, sum: 67108864, time: 0.0001 seconds
OMP_NUM_THREADS: 3, executing: slow, sum: 67108864, time: 2.6625 seconds
OMP_NUM_THREADS: 3, executing: medium, sum: 67108864, time: 1.5677 seconds
OMP_NUM_THREADS: 3, executing: fast, sum: 67108864, time: 0.0001 seconds
OMP_NUM_THREADS: 4, executing: slow, sum: 67108864, time: 3.0511 seconds
OMP_NUM_THREADS: 4, executing: medium, sum: 67108864, time: 1.2397 seconds
OMP_NUM_THREADS: 4, executing: fast, sum: 67108864, time: 0.0001 seconds

OMP_NUM_THREADS: 1, executing: slow, sum: 67108864, time: 1.0912 seconds
OMP_NUM_THREADS: 1, executing: medium, sum: 67108864, time: 0.3632 seconds
OMP_NUM_THREADS: 1, executing: fast, sum: 67108864, time: 0.0000 seconds
OMP_NUM_THREADS: 2, executing: slow, sum: 67108864, time: 1.8361 seconds
OMP_NUM_THREADS: 2, executing: medium, sum: 67108864, time: 2.0761 seconds
OMP_NUM_THREADS: 2, executing: fast, sum: 67108864, time: 0.0001 seconds
OMP_NUM_THREADS: 3, executing: slow, sum: 67108864, time: 2.6500 seconds
OMP_NUM_THREADS: 3, executing: medium, sum: 67108864, time: 1.9868 seconds
OMP_NUM_THREADS: 3, executing: fast, sum: 67108864, time: 0.0001 seconds
OMP_NUM_THREADS: 4, executing: slow, sum: 67108864, time: 2.8209 seconds
OMP_NUM_THREADS: 4, executing: medium, sum: 67108864, time: 1.7453 seconds
OMP_NUM_THREADS: 4, executing: fast, sum: 67108864, time: 0.0001 seconds

OMP_NUM_THREADS: 1, executing: slow, sum: 67108864, time: 1.1076 seconds
OMP_NUM_THREADS: 1, executing: medium, sum: 67108864, time: 0.3668 seconds
OMP_NUM_THREADS: 1, executing: fast, sum: 67108864, time: 0.0000 seconds
OMP_NUM_THREADS: 2, executing: slow, sum: 67108864, time: 2.0748 seconds
OMP_NUM_THREADS: 2, executing: medium, sum: 67108864, time: 1.9711 seconds
OMP_NUM_THREADS: 2, executing: fast, sum: 67108864, time: 0.0001 seconds
OMP_NUM_THREADS: 3, executing: slow, sum: 67108864, time: 2.1411 seconds
OMP_NUM_THREADS: 3, executing: medium, sum: 67108864, time: 1.8494 seconds
OMP_NUM_THREADS: 3, executing: fast, sum: 67108864, time: 0.0001 seconds
OMP_NUM_THREADS: 4, executing: slow, sum: 67108864, time: 2.8460 seconds
OMP_NUM_THREADS: 4, executing: medium, sum: 67108864, time: 1.7196 seconds
OMP_NUM_THREADS: 4, executing: fast, sum: 67108864, time: 0.0001 seconds

