OMP_NUM_THREADS: 1, executing: slow, sum: 67108864, time: 1.0794 seconds
OMP_NUM_THREADS: 1, executing: medium, sum: 67108864, time: 0.3635 seconds
OMP_NUM_THREADS: 1, executing: fast, sum: 67108864, time: 0.1428 seconds
OMP_NUM_THREADS: 2, executing: slow, sum: 67108864, time: 1.6343 seconds
OMP_NUM_THREADS: 2, executing: medium, sum: 67108864, time: 1.7987 seconds
OMP_NUM_THREADS: 2, executing: fast, sum: 67108864, time: 0.0715 seconds
OMP_NUM_THREADS: 3, executing: slow, sum: 67108864, time: 2.1250 seconds
OMP_NUM_THREADS: 3, executing: medium, sum: 67108864, time: 1.7668 seconds
OMP_NUM_THREADS: 3, executing: fast, sum: 67108864, time: 0.0538 seconds
OMP_NUM_THREADS: 4, executing: slow, sum: 67108864, time: 2.7209 seconds
OMP_NUM_THREADS: 4, executing: medium, sum: 67108864, time: 1.4675 seconds
OMP_NUM_THREADS: 4, executing: fast, sum: 67108864, time: 0.0506 seconds

OMP_NUM_THREADS: 1, executing: slow, sum: 67108864, time: 1.0689 seconds
OMP_NUM_THREADS: 1, executing: medium, sum: 67108864, time: 0.3623 seconds
OMP_NUM_THREADS: 1, executing: fast, sum: 67108864, time: 0.1401 seconds
OMP_NUM_THREADS: 2, executing: slow, sum: 67108864, time: 1.7692 seconds
OMP_NUM_THREADS: 2, executing: medium, sum: 67108864, time: 1.9089 seconds
OMP_NUM_THREADS: 2, executing: fast, sum: 67108864, time: 0.0716 seconds
OMP_NUM_THREADS: 3, executing: slow, sum: 67108864, time: 2.5404 seconds
OMP_NUM_THREADS: 3, executing: medium, sum: 67108864, time: 1.4768 seconds
OMP_NUM_THREADS: 3, executing: fast, sum: 67108864, time: 0.0544 seconds
OMP_NUM_THREADS: 4, executing: slow, sum: 67108864, time: 2.5859 seconds
OMP_NUM_THREADS: 4, executing: medium, sum: 67108864, time: 1.6542 seconds
OMP_NUM_THREADS: 4, executing: fast, sum: 67108864, time: 0.0557 seconds

OMP_NUM_THREADS: 1, executing: slow, sum: 67108864, time: 1.0553 seconds
OMP_NUM_THREADS: 1, executing: medium, sum: 67108864, time: 0.3606 seconds
OMP_NUM_THREADS: 1, executing: fast, sum: 67108864, time: 0.1414 seconds
OMP_NUM_THREADS: 2, executing: slow, sum: 67108864, time: 1.7789 seconds
OMP_NUM_THREADS: 2, executing: medium, sum: 67108864, time: 1.8031 seconds
OMP_NUM_THREADS: 2, executing: fast, sum: 67108864, time: 0.0732 seconds
OMP_NUM_THREADS: 3, executing: slow, sum: 67108864, time: 2.1716 seconds
OMP_NUM_THREADS: 3, executing: medium, sum: 67108864, time: 1.4235 seconds
OMP_NUM_THREADS: 3, executing: fast, sum: 67108864, time: 0.0556 seconds
OMP_NUM_THREADS: 4, executing: slow, sum: 67108864, time: 2.4974 seconds
OMP_NUM_THREADS: 4, executing: medium, sum: 67108864, time: 1.5599 seconds
OMP_NUM_THREADS: 4, executing: fast, sum: 67108864, time: 0.0562 seconds

